timestamp,lat,lon,alt_m,speed_m_s
2024-01-01T08:00:00Z,48.856600,2.352200,34.563,8.725
2024-01-01T08:00:01Z,48.856564,2.352306,37.588,9.287
2024-01-01T08:00:02Z,48.856526,2.352419,33.951,9.216
2024-01-01T08:00:03Z,48.856488,2.352532,37.075,8.594
2024-01-01T08:00:04Z,48.856454,2.352637,33.300,8.881
2024-01-01T08:00:05Z,48.856419,2.352746,33.077,7.104
2024-01-01T08:00:06Z,48.856391,2.352833,36.022,4.909
2024-01-01T08:00:07Z,48.856372,2.352894,36.623,3.123
2024-01-01T08:00:08Z,48.856360,2.352933,36.418,2.018
2024-01-01T08:00:09Z,48.856352,2.352958,33.360,0.000
2024-01-01T08:00:10Z,48.856352,2.352958,34.854,0.000
2024-01-01T08:00:11Z,48.856352,2.352958,32.495,0.000
2024-01-01T08:00:12Z,48.856352,2.352958,35.178,0.000
2024-01-01T08:00:13Z,48.856352,2.352958,34.096,0.000
2024-01-01T08:00:14Z,48.856352,2.352958,34.353,0.000
2024-01-01T08:00:15Z,48.856352,2.352958,35.001,0.000
2024-01-01T08:00:16Z,48.856352,2.352958,33.887,0.000
2024-01-01T08:00:17Z,48.856352,2.352958,36.496,0.000
2024-01-01T08:00:18Z,48.856352,2.352958,36.324,0.000
2024-01-01T08:00:19Z,48.856352,2.352958,31.333,0.000
2024-01-01T08:00:20Z,48.856352,2.352958,34.480,0.000
2024-01-01T08:00:21Z,48.856352,2.352958,36.171,0.000
2024-01-01T08:00:22Z,48.856352,2.352958,35.560,0.000
2024-01-01T08:00:23Z,48.856352,2.352958,34.665,0.000
2024-01-01T08:00:24Z,48.856352,2.352958,33.262,0.000
2024-01-01T08:00:25Z,48.856352,2.352958,36.164,0.000
2024-01-01T08:00:26Z,48.856352,2.352958,33.386,0.000
2024-01-01T08:00:27Z,48.856352,2.352958,33.062,0.704
2024-01-01T08:00:28Z,48.856349,2.352966,35.875,2.229
2024-01-01T08:00:29Z,48.856341,2.352994,37.821,2.695
2024-01-01T08:00:30Z,48.856330,2.353027,33.646,2.695
2024-01-01T08:00:31Z,48.856319,2.353060,35.124,3.590
2024-01-01T08:00:32Z,48.856305,2.353104,33.686,3.619
2024-01-01T08:00:33Z,48.856291,2.353149,35.541,3.720
2024-01-01T08:00:34Z,48.856278,2.353195,35.492,4.773
2024-01-01T08:00:35Z,48.856260,2.353255,35.767,5.355
2024-01-01T08:00:36Z,48.856240,2.353321,35.968,6.082
2024-01-01T08:00:37Z,48.856217,2.353397,35.097,6.058
2024-01-01T08:00:38Z,48.856194,2.353472,34.339,5.615
2024-01-01T08:00:39Z,48.856173,2.353542,36.654,5.193
2024-01-01T08:00:40Z,48.856153,2.353607,34.213,5.936
2024-01-01T08:00:41Z,48.856132,2.353681,34.020,4.316
2024-01-01T08:00:42Z,48.856116,2.353735,34.127,3.607
2024-01-01T08:00:43Z,48.856102,2.353780,34.655,2.424
2024-01-01T08:00:44Z,48.856093,2.353810,34.562,1.345
2024-01-01T08:00:45Z,48.856088,2.353826,34.596,0.020
2024-01-01T08:00:46Z,48.856088,2.353827,36.970,0.018
2024-01-01T08:00:47Z,48.856088,2.353827,36.310,0.018
2024-01-01T08:00:48Z,48.856088,2.353827,36.903,0.018
2024-01-01T08:00:49Z,48.856088,2.353827,33.870,0.168
2024-01-01T08:00:50Z,48.856087,2.353829,35.504,0.168
2024-01-01T08:00:51Z,48.856087,2.353831,34.326,3.060
2024-01-01T08:00:52Z,48.856075,2.353869,34.248,4.428
2024-01-01T08:00:53Z,48.856058,2.353924,36.183,4.428
2024-01-01T08:00:54Z,48.856041,2.353979,35.992,4.387
2024-01-01T08:00:55Z,48.856023,2.354033,36.098,4.896
2024-01-01T08:00:56Z,48.856004,2.354092,36.377,2.110
2024-01-01T08:00:57Z,48.855995,2.354118,32.975,1.067
2024-01-01T08:00:58Z,48.855990,2.354131,36.916,1.741
2024-01-01T08:00:59Z,48.855983,2.354152,33.119,1.614
2024-01-01T08:01:00Z,48.855977,2.354172,31.984,1.105
2024-01-01T08:01:01Z,48.855972,2.354185,32.393,1.000
2024-01-01T08:01:02Z,48.855968,2.354198,34.521,1.310
2024-01-01T08:01:03Z,48.855963,2.354214,35.957,0.636
2024-01-01T08:01:04Z,48.855960,2.354221,35.519,0.897
2024-01-01T08:01:05Z,48.855957,2.354232,34.000,1.306
2024-01-01T08:01:06Z,48.855952,2.354249,37.644,1.465
2024-01-01T08:01:07Z,48.855946,2.354266,38.891,1.538
2024-01-01T08:01:08Z,48.855940,2.354285,36.055,2.204
2024-01-01T08:01:09Z,48.855931,2.354312,35.176,3.501
2024-01-01T08:01:10Z,48.855917,2.354355,34.643,5.965
2024-01-01T08:01:11Z,48.855893,2.354428,34.008,8.078
2024-01-01T08:01:12Z,48.855860,2.354527,36.144,9.675
2024-01-01T08:01:13Z,48.855822,2.354646,33.858,11.187
2024-01-01T08:01:14Z,48.855777,2.354783,35.317,10.817
2024-01-01T08:01:15Z,48.855736,2.354917,34.221,8.371
2024-01-01T08:01:16Z,48.855704,2.355021,33.876,6.765
2024-01-01T08:01:17Z,48.855679,2.355105,38.711,5.522
2024-01-01T08:01:18Z,48.855659,2.355174,36.078,3.656
2024-01-01T08:01:19Z,48.855646,2.355220,33.655,2.971
2024-01-01T08:01:20Z,48.855635,2.355257,33.227,2.545
2024-01-01T08:01:21Z,48.855625,2.355289,35.716,1.934
2024-01-01T08:01:22Z,48.855619,2.355313,35.980,1.149
2024-01-01T08:01:23Z,48.855615,2.355328,34.990,1.572
2024-01-01T08:01:24Z,48.855609,2.355348,35.709,2.149
2024-01-01T08:01:25Z,48.855602,2.355375,36.669,2.581
2024-01-01T08:01:26Z,48.855593,2.355407,33.414,3.052
2024-01-01T08:01:27Z,48.855582,2.355446,36.158,3.202
2024-01-01T08:01:28Z,48.855572,2.355486,36.214,5.185
2024-01-01T08:01:29Z,48.855554,2.355552,34.145,6.671
2024-01-01T08:01:30Z,48.855532,2.355637,34.807,8.441
2024-01-01T08:01:31Z,48.855504,2.355744,37.671,9.418
2024-01-01T08:01:32Z,48.855472,2.355864,33.229,11.390
2024-01-01T08:01:33Z,48.855434,2.356008,37.036,10.755
2024-01-01T08:01:34Z,48.855399,2.356145,33.703,10.632
2024-01-01T08:01:35Z,48.855364,2.356281,35.597,10.188
2024-01-01T08:01:36Z,48.855333,2.356412,35.979,11.375
2024-01-01T08:01:37Z,48.855299,2.356559,34.505,10.449
2024-01-01T08:01:38Z,48.855268,2.356693,34.419,10.762
2024-01-01T08:01:39Z,48.855236,2.356833,34.849,9.917
2024-01-01T08:01:40Z,48.855206,2.356960,34.538,9.389
2024-01-01T08:01:41Z,48.855177,2.357081,33.762,7.570
2024-01-01T08:01:42Z,48.855154,2.357178,36.092,7.404
2024-01-01T08:01:43Z,48.855130,2.357273,32.936,7.059
2024-01-01T08:01:44Z,48.855106,2.357362,35.557,7.161
2024-01-01T08:01:45Z,48.855082,2.357453,33.107,7.527
2024-01-01T08:01:46Z,48.855056,2.357548,37.752,6.680
2024-01-01T08:01:47Z,48.855033,2.357633,36.911,6.903
2024-01-01T08:01:48Z,48.855009,2.357720,37.345,6.278
2024-01-01T08:01:49Z,48.854987,2.357799,34.786,5.420
2024-01-01T08:01:50Z,48.854968,2.357867,34.311,4.604
2024-01-01T08:01:51Z,48.854953,2.357926,34.844,5.652
2024-01-01T08:01:52Z,48.854934,2.357998,35.497,6.039
2024-01-01T08:01:53Z,48.854914,2.358075,34.043,5.132
2024-01-01T08:01:54Z,48.854897,2.358140,33.648,5.112
2024-01-01T08:01:55Z,48.854880,2.358205,36.903,6.044
2024-01-01T08:01:56Z,48.854861,2.358282,37.752,5.780
2024-01-01T08:01:57Z,48.854843,2.358357,34.590,4.712
2024-01-01T08:01:58Z,48.854828,2.358417,35.193,5.284
2024-01-01T08:01:59Z,48.854811,2.358484,36.172,4.892
2024-01-01T08:02:00Z,48.854796,2.358547,35.862,4.353
2024-01-01T08:02:01Z,48.854782,2.358603,33.575,4.021
2024-01-01T08:02:02Z,48.854770,2.358654,33.145,4.711
2024-01-01T08:02:03Z,48.854755,2.358715,35.763,4.745
2024-01-01T08:02:04Z,48.854740,2.358775,39.558,4.572
2024-01-01T08:02:05Z,48.854725,2.358834,36.961,3.398
2024-01-01T08:02:06Z,48.854714,2.358877,36.621,2.922
2024-01-01T08:02:07Z,48.854705,2.358914,35.227,1.380
2024-01-01T08:02:08Z,48.854700,2.358932,33.129,0.256
2024-01-01T08:02:09Z,48.854699,2.358935,32.416,0.000
2024-01-01T08:02:10Z,48.854699,2.358935,32.677,0.167
2024-01-01T08:02:11Z,48.854699,2.358938,35.344,0.167
2024-01-01T08:02:12Z,48.854698,2.358940,36.292,0.167
2024-01-01T08:02:13Z,48.854698,2.358942,35.547,0.167
2024-01-01T08:02:14Z,48.854697,2.358944,36.157,0.356
2024-01-01T08:02:15Z,48.854696,2.358948,34.662,0.189
2024-01-01T08:02:16Z,48.854695,2.358951,34.960,0.189
