timestamp,exhaust_flow_kg_s,nox_mg_s,pn_1_s,veh_speed_m_s
2024-01-01T08:00:00Z,0.4623,80.58,136551,8.725
2024-01-01T08:00:01Z,0.4761,81.49,182292,9.287
2024-01-01T08:00:02Z,0.4886,75.28,140491,9.216
2024-01-01T08:00:03Z,0.4792,82.58,136520,8.594
2024-01-01T08:00:04Z,0.4866,77.36,170978,8.881
2024-01-01T08:00:05Z,0.4303,76.14,124023,7.104
2024-01-01T08:00:06Z,0.4007,61.30,115167,4.909
2024-01-01T08:00:07Z,0.3657,60.15,103110,3.123
2024-01-01T08:00:08Z,0.3341,58.73,103450,2.018
2024-01-01T08:00:09Z,0.3016,50.73,99228,0.000
2024-01-01T08:00:10Z,0.3055,47.07,101131,0.000
2024-01-01T08:00:11Z,0.3173,47.87,97346,0.000
2024-01-01T08:00:12Z,0.3021,52.32,101280,0.000
2024-01-01T08:00:13Z,0.2970,48.06,93182,0.000
2024-01-01T08:00:14Z,0.2937,49.09,101549,0.000
2024-01-01T08:00:15Z,0.2944,47.86,102519,0.000
2024-01-01T08:00:16Z,0.3035,39.72,104141,0.000
2024-01-01T08:00:17Z,0.3177,45.07,103014,0.000
2024-01-01T08:00:18Z,0.2939,45.37,117302,0.000
2024-01-01T08:00:19Z,0.3133,51.01,98595,0.000
2024-01-01T08:00:20Z,0.2901,43.58,87701,0.000
2024-01-01T08:00:21Z,0.3003,48.13,104747,0.000
2024-01-01T08:00:22Z,0.3037,49.16,98629,0.000
2024-01-01T08:00:23Z,0.2892,55.52,93583,0.000
2024-01-01T08:00:24Z,0.2971,53.11,105871,0.000
2024-01-01T08:00:25Z,0.2866,49.79,93787,0.000
2024-01-01T08:00:26Z,0.3091,46.19,92356,0.000
2024-01-01T08:00:27Z,0.3160,50.96,152783,0.704
2024-01-01T08:00:28Z,0.3397,63.81,267259,2.229
2024-01-01T08:00:29Z,0.3782,68.01,139445,2.695
2024-01-01T08:00:30Z,0.3471,50.95,103034,2.695
2024-01-01T08:00:31Z,0.3767,64.56,196430,3.590
2024-01-01T08:00:32Z,0.3816,57.50,124486,3.619
2024-01-01T08:00:33Z,0.3822,59.15,115445,3.720
2024-01-01T08:00:34Z,0.3957,69.29,221682,4.773
2024-01-01T08:00:35Z,0.4106,73.64,158293,5.355
2024-01-01T08:00:36Z,0.4152,67.72,201794,6.082
2024-01-01T08:00:37Z,0.4300,66.48,123717,6.058
2024-01-01T08:00:38Z,0.4205,64.55,93891,5.615
2024-01-01T08:00:39Z,0.4004,76.03,125873,5.193
2024-01-01T08:00:40Z,0.4037,71.55,196100,5.936
2024-01-01T08:00:41Z,0.3827,64.69,127535,4.316
2024-01-01T08:00:42Z,0.3759,57.76,102279,3.607
2024-01-01T08:00:43Z,0.3546,57.98,122615,2.424
2024-01-01T08:00:44Z,0.3313,45.63,107415,1.345
2024-01-01T08:00:45Z,0.3103,52.72,85635,0.020
2024-01-01T08:00:46Z,0.2944,50.16,105042,0.018
2024-01-01T08:00:47Z,0.3015,46.73,106459,0.018
2024-01-01T08:00:48Z,0.2973,44.21,83232,0.018
2024-01-01T08:00:49Z,0.3172,58.30,117759,0.168
2024-01-01T08:00:50Z,0.2908,47.26,93189,0.168
2024-01-01T08:00:51Z,0.3619,76.11,402600,3.060
2024-01-01T08:00:52Z,0.3745,63.20,261455,4.428
2024-01-01T08:00:53Z,0.3769,65.23,114662,4.428
2024-01-01T08:00:54Z,0.3967,68.96,120383,4.387
2024-01-01T08:00:55Z,0.3913,58.74,155346,4.896
2024-01-01T08:00:56Z,0.3373,54.25,103888,2.110
2024-01-01T08:00:57Z,0.3404,49.70,86761,1.067
2024-01-01T08:00:58Z,0.3362,54.81,169840,1.741
2024-01-01T08:00:59Z,0.3365,52.79,108437,1.614
2024-01-01T08:01:00Z,0.3205,54.28,87009,1.105
2024-01-01T08:01:01Z,0.3331,47.64,100491,1.000
2024-01-01T08:01:02Z,0.3163,54.93,110325,1.310
2024-01-01T08:01:03Z,0.3131,52.67,84481,0.636
2024-01-01T08:01:04Z,0.3211,50.93,130811,0.897
2024-01-01T08:01:05Z,0.3265,59.31,152382,1.306
2024-01-01T08:01:06Z,0.3175,62.67,127108,1.465
2024-01-01T08:01:07Z,0.3194,59.82,105419,1.538
2024-01-01T08:01:08Z,0.3203,54.86,166994,2.204
2024-01-01T08:01:09Z,0.3453,57.51,241951,3.501
2024-01-01T08:01:10Z,0.4038,70.86,366225,5.965
2024-01-01T08:01:11Z,0.4492,83.31,349562,8.078
2024-01-01T08:01:12Z,0.4968,90.87,294750,9.675
2024-01-01T08:01:13Z,0.5293,102.50,289644,11.187
2024-01-01T08:01:14Z,0.5446,79.78,147004,10.817
2024-01-01T08:01:15Z,0.4720,74.06,131690,8.371
2024-01-01T08:01:16Z,0.4460,73.85,126923,6.765
2024-01-01T08:01:17Z,0.4162,59.09,116586,5.522
2024-01-01T08:01:18Z,0.3728,57.71,126906,3.656
2024-01-01T08:01:19Z,0.3314,56.45,107196,2.971
2024-01-01T08:01:20Z,0.3500,52.73,116132,2.545
2024-01-01T08:01:21Z,0.3409,67.63,87443,1.934
2024-01-01T08:01:22Z,0.3179,57.44,114057,1.149
2024-01-01T08:01:23Z,0.3345,60.13,135429,1.572
2024-01-01T08:01:24Z,0.3395,49.16,165861,2.149
2024-01-01T08:01:25Z,0.3713,60.83,154894,2.581
2024-01-01T08:01:26Z,0.3469,66.46,155265,3.052
2024-01-01T08:01:27Z,0.3825,67.43,128105,3.202
2024-01-01T08:01:28Z,0.4054,80.90,313400,5.185
2024-01-01T08:01:29Z,0.4382,73.85,270129,6.671
2024-01-01T08:01:30Z,0.4718,81.73,308170,8.441
2024-01-01T08:01:31Z,0.4822,78.84,223339,9.418
2024-01-01T08:01:32Z,0.5255,97.41,324465,11.390
2024-01-01T08:01:33Z,0.5082,78.46,134784,10.755
2024-01-01T08:01:34Z,0.5095,84.54,133163,10.632
2024-01-01T08:01:35Z,0.5052,79.53,144637,10.188
2024-01-01T08:01:36Z,0.5339,94.92,265747,11.375
2024-01-01T08:01:37Z,0.5107,84.21,140678,10.449
2024-01-01T08:01:38Z,0.5303,86.70,169563,10.762
2024-01-01T08:01:39Z,0.4904,77.88,152531,9.917
2024-01-01T08:01:40Z,0.4815,71.48,116974,9.389
2024-01-01T08:01:41Z,0.4717,67.35,124358,7.570
2024-01-01T08:01:42Z,0.4300,71.66,146378,7.404
2024-01-01T08:01:43Z,0.4478,70.83,126460,7.059
2024-01-01T08:01:44Z,0.4566,83.19,136682,7.161
2024-01-01T08:01:45Z,0.4472,77.51,157293,7.527
2024-01-01T08:01:46Z,0.4433,74.92,129020,6.680
2024-01-01T08:01:47Z,0.4412,72.21,156619,6.903
2024-01-01T08:01:48Z,0.4210,57.57,116999,6.278
2024-01-01T08:01:49Z,0.4007,60.69,117213,5.420
2024-01-01T08:01:50Z,0.4163,66.17,114540,4.604
2024-01-01T08:01:51Z,0.4137,61.96,234724,5.652
2024-01-01T08:01:52Z,0.4229,78.25,168428,6.039
2024-01-01T08:01:53Z,0.4020,60.29,124309,5.132
2024-01-01T08:01:54Z,0.4033,59.29,113481,5.112
2024-01-01T08:01:55Z,0.4320,65.16,212918,6.044
2024-01-01T08:01:56Z,0.4094,62.56,124260,5.780
2024-01-01T08:01:57Z,0.4084,65.51,132478,4.712
2024-01-01T08:01:58Z,0.3857,63.23,174851,5.284
2024-01-01T08:01:59Z,0.3915,58.55,111092,4.892
2024-01-01T08:02:00Z,0.3807,65.52,129174,4.353
2024-01-01T08:02:01Z,0.3827,60.64,103103,4.021
2024-01-01T08:02:02Z,0.3905,70.11,190124,4.711
2024-01-01T08:02:03Z,0.3995,59.93,117502,4.745
2024-01-01T08:02:04Z,0.4006,63.94,121107,4.572
2024-01-01T08:02:05Z,0.3605,58.39,127584,3.398
2024-01-01T08:02:06Z,0.3609,54.58,114886,2.922
2024-01-01T08:02:07Z,0.3277,62.35,125780,1.380
2024-01-01T08:02:08Z,0.2968,51.70,84735,0.256
2024-01-01T08:02:09Z,0.2953,45.80,100189,0.000
2024-01-01T08:02:10Z,0.2930,53.05,108359,0.167
2024-01-01T08:02:11Z,0.3255,47.55,103906,0.167
2024-01-01T08:02:12Z,0.3115,47.14,108361,0.167
2024-01-01T08:02:13Z,0.3029,49.96,102557,0.167
2024-01-01T08:02:14Z,0.3074,56.28,121171,0.356
2024-01-01T08:02:15Z,0.3103,46.36,95522,0.189
2024-01-01T08:02:16Z,0.3023,55.77,105099,0.189
2024-01-01T08:02:17Z,0.3141,59.65,110625,0.189
2024-01-01T08:02:18Z,0.2951,48.67,91888,0.189
2024-01-01T08:02:19Z,0.2959,49.31,102875,0.000
2024-01-01T08:02:20Z,0.3225,65.68,263521,1.509
2024-01-01T08:02:21Z,0.3833,79.37,382338,4.141
2024-01-01T08:02:22Z,0.3949,73.99,245681,5.471
2024-01-01T08:02:23Z,0.4488,83.60,310209,7.278
2024-01-01T08:02:24Z,0.4599,83.70,228919,8.146
2024-01-01T08:02:25Z,0.4464,74.05,118671,8.094
2024-01-01T08:02:26Z,0.4402,74.33,124845,7.248
2024-01-01T08:02:27Z,0.4533,84.90,200808,7.980
2024-01-01T08:02:28Z,0.4876,69.00,187178,8.540
2024-01-01T08:02:29Z,0.4924,78.22,192571,9.279
2024-01-01T08:02:30Z,0.4797,71.62,144890,8.875
2024-01-01T08:02:31Z,0.4872,73.03,134536,8.910
2024-01-01T08:02:32Z,0.4587,69.23,141965,8.673
2024-01-01T08:02:33Z,0.4592,69.85,128493,8.091
2024-01-01T08:02:34Z,0.4457,70.36,128985,7.639
2024-01-01T08:02:35Z,0.4734,80.26,211686,8.621
2024-01-01T08:02:36Z,0.4636,71.08,135230,8.273
2024-01-01T08:02:37Z,0.4769,71.11,132715,8.183
2024-01-01T08:02:38Z,0.4648,67.30,154855,8.375
2024-01-01T08:02:39Z,0.4891,80.61,165116,8.813
2024-01-01T08:02:40Z,0.4729,69.20,136819,8.157
2024-01-01T08:02:41Z,0.4770,86.86,234532,8.941
2024-01-01T08:02:42Z,0.4859,74.39,130457,8.451
2024-01-01T08:02:43Z,0.4490,76.03,147154,7.392
2024-01-01T08:02:44Z,0.4380,64.19,121236,6.858
2024-01-01T08:02:45Z,0.4617,69.85,165050,7.161
2024-01-01T08:02:46Z,0.4142,61.94,114060,5.840
2024-01-01T08:02:47Z,0.4287,72.30,135457,5.668
2024-01-01T08:02:48Z,0.4234,69.92,162508,6.099
2024-01-01T08:02:49Z,0.4216,68.70,113882,5.469
2024-01-01T08:02:50Z,0.3905,64.12,115702,3.787
2024-01-01T08:02:51Z,0.3745,70.83,117884,3.558
2024-01-01T08:02:52Z,0.3653,57.30,113599,3.096
2024-01-01T08:02:53Z,0.3310,58.41,100723,1.881
2024-01-01T08:02:54Z,0.3379,61.33,144067,2.265
2024-01-01T08:02:55Z,0.3482,59.18,180739,2.890
2024-01-01T08:02:56Z,0.3387,51.26,132441,2.182
2024-01-01T08:02:57Z,0.3413,57.92,107443,2.045
2024-01-01T08:02:58Z,0.3334,54.18,122135,1.983
2024-01-01T08:02:59Z,0.3299,50.33,102577,1.169
2024-01-01T08:03:00Z,0.3137,47.73,104102,0.852
2024-01-01T08:03:01Z,0.3213,58.42,100430,0.872
2024-01-01T08:03:02Z,0.3144,52.16,106604,0.397
2024-01-01T08:03:03Z,0.3072,42.76,131827,0.568
2024-01-01T08:03:04Z,0.3152,51.87,122503,0.766
2024-01-01T08:03:05Z,0.3178,50.29,109402,0.459
2024-01-01T08:03:06Z,0.3123,54.37,106871,0.554
2024-01-01T08:03:07Z,0.3333,53.61,133983,0.964
2024-01-01T08:03:08Z,0.3137,44.62,93369,0.724
2024-01-01T08:03:09Z,0.2976,50.61,101836,0.608
2024-01-01T08:03:10Z,0.2918,48.30,110678,0.608
2024-01-01T08:03:11Z,0.3278,58.09,190518,1.524
2024-01-01T08:03:12Z,0.3285,49.46,101668,1.113
2024-01-01T08:03:13Z,0.3261,60.80,122420,1.383
2024-01-01T08:03:14Z,0.3098,43.11,97607,1.301
2024-01-01T08:03:15Z,0.3291,50.62,106581,1.301
2024-01-01T08:03:16Z,0.3308,54.30,102410,1.209
2024-01-01T08:03:17Z,0.3297,44.99,102140,1.222
2024-01-01T08:03:18Z,0.3404,61.63,203467,2.122
2024-01-01T08:03:19Z,0.3533,61.07,104900,2.122
2024-01-01T08:03:20Z,0.3427,63.09,128468,2.421
2024-01-01T08:03:21Z,0.3470,56.90,103164,1.482
2024-01-01T08:03:22Z,0.3331,60.04,116011,1.469
2024-01-01T08:03:23Z,0.3206,51.77,101301,0.299
2024-01-01T08:03:24Z,0.2997,56.58,106465,0.299
2024-01-01T08:03:25Z,0.3042,51.05,100131,0.000
2024-01-01T08:03:26Z,0.3033,54.84,84830,0.000
2024-01-01T08:03:27Z,0.3064,57.91,117786,0.027
2024-01-01T08:03:28Z,0.3025,45.42,104418,0.027
2024-01-01T08:03:29Z,0.2907,42.33,107779,0.027
2024-01-01T08:03:30Z,0.2934,47.14,103064,0.027
2024-01-01T08:03:31Z,0.2936,50.05,93935,0.027
2024-01-01T08:03:32Z,0.3126,53.71,202709,0.846
2024-01-01T08:03:33Z,0.3271,59.34,94676,0.846
2024-01-01T08:03:34Z,0.3097,51.12,96087,0.846
2024-01-01T08:03:35Z,0.3175,54.10,118923,0.846
2024-01-01T08:03:36Z,0.3220,51.64,109232,0.846
2024-01-01T08:03:37Z,0.3060,62.18,111107,0.000
2024-01-01T08:03:38Z,0.2885,47.06,131560,0.141
2024-01-01T08:03:39Z,0.3028,57.10,109159,0.141
2024-01-01T08:03:40Z,0.3204,49.75,119709,0.307
2024-01-01T08:03:41Z,0.3240,53.07,187688,1.080
2024-01-01T08:03:42Z,0.3616,62.11,277656,2.708
2024-01-01T08:03:43Z,0.3637,58.70,219991,3.824
2024-01-01T08:03:44Z,0.3959,59.10,107086,3.882
2024-01-01T08:03:45Z,0.3969,58.55,203818,4.742
2024-01-01T08:03:46Z,0.4024,74.85,229971,5.716
2024-01-01T08:03:47Z,0.4036,71.89,179213,6.199
2024-01-01T08:03:48Z,0.4145,73.18,134653,6.267
2024-01-01T08:03:49Z,0.4681,68.70,247238,7.402
2024-01-01T08:03:50Z,0.4301,70.22,104013,6.783
2024-01-01T08:03:51Z,0.4117,68.18,130400,5.627
2024-01-01T08:03:52Z,0.4149,66.26,119964,4.534
2024-01-01T08:03:53Z,0.3797,58.00,125360,4.435
2024-01-01T08:03:54Z,0.3845,52.45,121845,4.484
2024-01-01T08:03:55Z,0.3897,65.21,153963,4.763
2024-01-01T08:03:56Z,0.3948,69.06,134526,4.492
2024-01-01T08:03:57Z,0.3725,63.16,118263,3.950
2024-01-01T08:03:58Z,0.3645,58.31,100322,2.977
2024-01-01T08:03:59Z,0.3603,58.69,120611,2.856
2024-01-01T08:04:00Z,0.3395,51.49,120698,2.170
2024-01-01T08:04:01Z,0.3414,53.03,114564,2.408
2024-01-01T08:04:02Z,0.3657,57.07,171877,2.844
2024-01-01T08:04:03Z,0.3857,66.81,231987,4.001
2024-01-01T08:04:04Z,0.3657,57.64,116838,3.529
2024-01-01T08:04:05Z,0.3959,75.33,221278,4.604
2024-01-01T08:04:06Z,0.3855,59.77,108859,4.383
2024-01-01T08:04:07Z,0.3909,60.96,102772,3.599
2024-01-01T08:04:08Z,0.3489,59.17,99377,2.318
2024-01-01T08:04:09Z,0.3578,60.86,172423,2.868
2024-01-01T08:04:10Z,0.3481,58.65,105476,2.693
2024-01-01T08:04:11Z,0.3658,62.96,146984,2.973
2024-01-01T08:04:12Z,0.3521,61.54,116671,2.919
2024-01-01T08:04:13Z,0.3434,52.17,95690,2.790
2024-01-01T08:04:14Z,0.3342,57.70,105015,1.593
2024-01-01T08:04:15Z,0.2986,53.37,96624,0.693
2024-01-01T08:04:16Z,0.2994,54.33,113874,0.075
2024-01-01T08:04:17Z,0.2868,46.77,118042,0.000
2024-01-01T08:04:18Z,0.2865,50.04,101358,0.000
2024-01-01T08:04:19Z,0.2993,41.19,103982,0.000
2024-01-01T08:04:20Z,0.3097,50.31,93046,0.000
2024-01-01T08:04:21Z,0.2844,49.23,96474,0.000
2024-01-01T08:04:22Z,0.3009,45.69,102580,0.000
2024-01-01T08:04:23Z,0.2894,49.64,115543,0.000
2024-01-01T08:04:24Z,0.3044,54.80,96771,0.000
2024-01-01T08:04:25Z,0.2951,55.91,88570,0.000
2024-01-01T08:04:26Z,0.2932,52.03,88781,0.000
2024-01-01T08:04:27Z,0.3035,48.72,105550,0.000
2024-01-01T08:04:28Z,0.3110,46.60,104073,0.000
2024-01-01T08:04:29Z,0.3005,44.95,107393,0.000
2024-01-01T08:04:30Z,0.3086,55.30,109448,0.000
2024-01-01T08:04:31Z,0.3017,49.54,94213,0.000
2024-01-01T08:04:32Z,0.3114,54.64,170748,0.780
2024-01-01T08:04:33Z,0.3506,63.48,185807,1.634
2024-01-01T08:04:34Z,0.3700,65.90,225265,2.856
2024-01-01T08:04:35Z,0.3943,64.20,228244,4.037
2024-01-01T08:04:36Z,0.3963,74.91,198234,4.788
2024-01-01T08:04:37Z,0.3985,73.35,213498,5.592
2024-01-01T08:04:38Z,0.4080,74.75,132193,5.644
2024-01-01T08:04:39Z,0.4122,71.43,127305,5.131
2024-01-01T08:04:40Z,0.3943,63.09,114744,4.798
2024-01-01T08:04:41Z,0.3906,67.67,147701,4.930
2024-01-01T08:04:42Z,0.3722,66.29,115797,3.505
2024-01-01T08:04:43Z,0.3774,55.15,154473,3.988
2024-01-01T08:04:44Z,0.3987,77.38,209962,4.780
2024-01-01T08:04:45Z,0.4095,68.34,166635,5.196
2024-01-01T08:04:46Z,0.4152,66.18,163002,5.465
2024-01-01T08:04:47Z,0.4489,67.17,283309,7.063
2024-01-01T08:04:48Z,0.4707,82.12,246922,8.167
2024-01-01T08:04:49Z,0.4763,70.20,159942,8.377
2024-01-01T08:04:50Z,0.4550,82.24,167864,8.611
2024-01-01T08:04:51Z,0.4874,73.89,169348,8.968
2024-01-01T08:04:52Z,0.4709,75.34,158870,9.030
2024-01-01T08:04:53Z,0.4550,76.54,118459,7.809
2024-01-01T08:04:54Z,0.4692,75.29,138178,7.982
2024-01-01T08:04:55Z,0.4651,82.10,180800,8.505
2024-01-01T08:04:56Z,0.4915,85.17,277336,9.944
2024-01-01T08:04:57Z,0.5213,83.89,202251,10.653
2024-01-01T08:04:58Z,0.5200,98.15,271607,11.986
2024-01-01T08:04:59Z,0.5422,84.19,133969,11.856
2024-01-01T08:05:00Z,0.5449,84.37,190407,12.303
2024-01-01T08:05:01Z,0.5146,89.01,161593,10.933
2024-01-01T08:05:02Z,0.5166,78.15,143520,10.718
2024-01-01T08:05:03Z,0.5115,79.86,139120,10.490
2024-01-01T08:05:04Z,0.5144,83.92,150647,10.521
2024-01-01T08:05:05Z,0.5507,84.78,224895,11.222
2024-01-01T08:05:06Z,0.5213,88.51,235663,12.090
2024-01-01T08:05:07Z,0.5042,86.14,151207,10.977
2024-01-01T08:05:08Z,0.5160,80.24,148983,11.019
2024-01-01T08:05:09Z,0.5098,77.27,150079,11.153
2024-01-01T08:05:10Z,0.4909,76.47,133404,10.090
2024-01-01T08:05:11Z,0.4893,81.44,155308,9.957
2024-01-01T08:05:12Z,0.5271,87.38,237366,11.005
2024-01-01T08:05:13Z,0.4961,77.18,121893,9.594
2024-01-01T08:05:14Z,0.4808,74.63,132543,9.090
2024-01-01T08:05:15Z,0.4921,80.63,168913,9.334
2024-01-01T08:05:16Z,0.4857,78.22,171530,9.598
2024-01-01T08:05:17Z,0.5088,91.12,204078,10.191
2024-01-01T08:05:18Z,0.5362,103.36,329330,11.940
2024-01-01T08:05:19Z,0.5188,87.49,145359,11.312
2024-01-01T08:05:20Z,0.5140,71.71,152094,11.126
2024-01-01T08:05:21Z,0.4750,73.60,126427,9.329
2024-01-01T08:05:22Z,0.4772,74.95,123572,8.993
2024-01-01T08:05:23Z,0.4698,76.12,141594,8.028
2024-01-01T08:05:24Z,0.4590,76.81,162207,8.296
2024-01-01T08:05:25Z,0.4937,80.80,177159,8.730
2024-01-01T08:05:26Z,0.5061,78.84,233717,9.829
2024-01-01T08:05:27Z,0.4697,76.28,129865,7.901
2024-01-01T08:05:28Z,0.4337,73.59,138857,7.754
2024-01-01T08:05:29Z,0.4605,78.17,145085,7.801
2024-01-01T08:05:30Z,0.4165,67.04,131546,6.704
2024-01-01T08:05:31Z,0.4113,65.56,126879,6.015
2024-01-01T08:05:32Z,0.4427,80.79,278171,7.525
2024-01-01T08:05:33Z,0.4308,71.61,128849,6.559
2024-01-01T08:05:34Z,0.4055,66.03,135115,5.565
2024-01-01T08:05:35Z,0.3890,68.56,131882,4.914
2024-01-01T08:05:36Z,0.3839,54.22,118397,3.725
2024-01-01T08:05:37Z,0.3546,48.29,109981,1.676
2024-01-01T08:05:38Z,0.3284,48.20,93406,1.039
2024-01-01T08:05:39Z,0.3396,52.03,88254,0.930
2024-01-01T08:05:40Z,0.2896,56.96,96980,0.361
2024-01-01T08:05:41Z,0.3363,70.25,253265,1.805
2024-01-01T08:05:42Z,0.3510,52.95,206077,2.705
2024-01-01T08:05:43Z,0.4119,80.94,338058,4.981
2024-01-01T08:05:44Z,0.4481,71.54,309200,6.836
2024-01-01T08:05:45Z,0.4631,83.23,251795,7.960
2024-01-01T08:05:46Z,0.4591,71.70,144278,7.716
2024-01-01T08:05:47Z,0.4511,70.04,163913,7.934
2024-01-01T08:05:48Z,0.4015,63.34,122769,5.619
2024-01-01T08:05:49Z,0.3906,57.47,124548,3.764
2024-01-01T08:05:50Z,0.3470,55.93,106019,2.360
2024-01-01T08:05:51Z,0.3073,51.91,95362,1.160
2024-01-01T08:05:52Z,0.2938,41.24,83396,0.000
2024-01-01T08:05:53Z,0.2964,46.43,93968,0.000
2024-01-01T08:05:54Z,0.3026,47.60,91868,0.000
2024-01-01T08:05:55Z,0.3027,43.55,99413,0.000
2024-01-01T08:05:56Z,0.3089,48.70,102003,0.007
2024-01-01T08:05:57Z,0.3080,43.49,105663,0.007
2024-01-01T08:05:58Z,0.3016,41.87,109984,0.007
2024-01-01T08:05:59Z,0.3247,58.56,262420,1.665
2024-01-01T08:06:00Z,0.3627,65.65,268660,3.330
2024-01-01T08:06:01Z,0.3956,77.78,296471,5.131
2024-01-01T08:06:02Z,0.4384,71.69,295224,6.860
2024-01-01T08:06:03Z,0.4924,99.37,402717,9.555
2024-01-01T08:06:04Z,0.4888,84.48,188433,10.173
2024-01-01T08:06:05Z,0.5327,86.87,271276,11.629
2024-01-01T08:06:06Z,0.5648,100.73,326101,13.328
2024-01-01T08:06:07Z,0.5783,89.28,215230,14.008
2024-01-01T08:06:08Z,0.5559,92.46,152744,12.962
2024-01-01T08:06:09Z,0.5779,80.53,150080,12.940
2024-01-01T08:06:10Z,0.5493,93.33,136957,12.245
2024-01-01T08:06:11Z,0.5066,84.53,141738,10.471
2024-01-01T08:06:12Z,0.5064,79.63,141344,10.424
2024-01-01T08:06:13Z,0.5296,82.01,233417,11.412
2024-01-01T08:06:14Z,0.5185,82.71,172546,11.422
2024-01-01T08:06:15Z,0.5237,89.90,158561,11.104
2024-01-01T08:06:16Z,0.5394,86.05,185006,11.475
2024-01-01T08:06:17Z,0.5489,85.86,255616,12.477
2024-01-01T08:06:18Z,0.5459,84.87,141226,12.216
2024-01-01T08:06:19Z,0.5372,87.07,139725,11.970
2024-01-01T08:06:20Z,0.5473,87.76,147916,12.085
2024-01-01T08:06:21Z,0.5524,81.25,218042,12.837
2024-01-01T08:06:22Z,0.5325,79.06,139664,11.475
2024-01-01T08:06:23Z,0.5502,78.02,159194,11.648
2024-01-01T08:06:24Z,0.5445,84.60,228754,12.259
2024-01-01T08:06:25Z,0.5270,83.53,183737,12.633
2024-01-01T08:06:26Z,0.5541,86.12,161948,12.649
2024-01-01T08:06:27Z,0.5449,85.68,151134,12.493
2024-01-01T08:06:28Z,0.5546,86.89,153107,12.578
2024-01-01T08:06:29Z,0.5395,82.53,142073,11.563
2024-01-01T08:06:30Z,0.5277,75.50,138723,10.721
2024-01-01T08:06:31Z,0.5121,90.37,128375,10.338
2024-01-01T08:06:32Z,0.5112,84.49,180704,10.733
2024-01-01T08:06:33Z,0.5102,84.95,114775,9.867
2024-01-01T08:06:34Z,0.4763,67.96,134443,9.359
2024-01-01T08:06:35Z,0.5010,86.43,159648,9.524
2024-01-01T08:06:36Z,0.4848,68.37,126165,8.292
2024-01-01T08:06:37Z,0.4318,75.97,145853,7.098
2024-01-01T08:06:38Z,0.4299,67.52,121213,6.452
2024-01-01T08:06:39Z,0.4321,66.47,177446,6.850
2024-01-01T08:06:40Z,0.4114,66.23,113852,5.192
2024-01-01T08:06:41Z,0.4309,66.38,152984,5.375
2024-01-01T08:06:42Z,0.4216,65.56,144842,5.617
2024-01-01T08:06:43Z,0.4161,56.00,131562,5.350
2024-01-01T08:06:44Z,0.3910,72.83,144334,5.457
2024-01-01T08:06:45Z,0.4513,67.87,245046,6.545
2024-01-01T08:06:46Z,0.4221,69.95,115657,5.796
2024-01-01T08:06:47Z,0.4136,66.74,116584,5.122
2024-01-01T08:06:48Z,0.4261,64.43,169471,5.525
2024-01-01T08:06:49Z,0.3963,61.79,116542,3.913
2024-01-01T08:06:50Z,0.3533,68.98,105240,2.565
2024-01-01T08:06:51Z,0.3308,56.47,100037,1.873
2024-01-01T08:06:52Z,0.3176,63.70,102303,1.257
2024-01-01T08:06:53Z,0.3078,51.07,90586,0.000
2024-01-01T08:06:54Z,0.3018,55.28,109275,0.000
2024-01-01T08:06:55Z,0.3171,52.55,88740,0.000
2024-01-01T08:06:56Z,0.3123,61.78,189897,0.835
2024-01-01T08:06:57Z,0.3305,54.42,168271,1.393
2024-01-01T08:06:58Z,0.3425,59.51,125350,1.502
2024-01-01T08:06:59Z,0.3413,66.43,216049,2.579
2024-01-01T08:07:00Z,0.3758,67.37,227866,3.565
2024-01-01T08:07:01Z,0.3947,72.98,170288,4.188
2024-01-01T08:07:02Z,0.3740,69.18,130981,3.630
